"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P14988","8P26894","8P26803","34_2",2,0,1,5,1,0,1,2022,"8P14988_2022","8P26894_2022","8P26803_2022"
"8P26803","8P14988","8P26894","34_2",2,1,0,5,1,0,1,2022,"8P26803_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26803","8P14988","34_2",2,1,0,4,1,0,1,2022,"8P26894_2022","8P26803_2022","8P14988_2022"
"8P26808","8P26876","8P26892","34_3",2,2,1,5,1,0,1,2022,"8P26808_2022","8P26876_2022","8P26892_2022"
"8P26876","8P26892","8P26808","34_3",2,3,1,4,1,0,1,2022,"8P26876_2022","8P26892_2022","8P26808_2022"
"8P26892","8P26808","8P26876","34_3",2,2,0,4,1,0,1,2022,"8P26892_2022","8P26808_2022","8P26876_2022"
"8P26876","8P26892","8P26894","35_1",2,3,0,5,1,0,1,2022,"8P26876_2022","8P26892_2022","8P26894_2022"
"8P26892","8P26894","8P26876","35_1",2,0,1,5,1,0,1,2022,"8P26892_2022","8P26894_2022","8P26876_2022"
"8P26894","8P26876","8P26892","35_1",2,2,0,5,1,0,1,2022,"8P26894_2022","8P26876_2022","8P26892_2022"
"8P14988","8P26808","8P26876","36_1",2,2,0,6,1,0,1,2022,"8P14988_2022","8P26808_2022","8P26876_2022"
"8P26808","8P26876","8P14988","36_1",2,1,1,6,1,0,1,2022,"8P26808_2022","8P26876_2022","8P14988_2022"
"8P26876","8P14988","8P26808","36_1",2,3,0,6,1,0,1,2022,"8P26876_2022","8P14988_2022","8P26808_2022"
"8P26803","8P26892","8P26894","36_3",2,2,1,6,1,0,1,2022,"8P26803_2022","8P26892_2022","8P26894_2022"
"8P26892","8P26894","8P26803","36_3",2,2,1,6,1,0,1,2022,"8P26892_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26892","36_3",2,2,0,6,1,0,1,2022,"8P26894_2022","8P26803_2022","8P26892_2022"
"8P26803","8P26876","8P26892","37_2",2,1,0,7,1,0,1,2022,"8P26803_2022","8P26876_2022","8P26892_2022"
"8P26876","8P26892","8P26803","37_2",2,2,1,7,1,0,1,2022,"8P26876_2022","8P26892_2022","8P26803_2022"
"8P26892","8P26803","8P26876","37_2",2,2,0,7,1,0,1,2022,"8P26892_2022","8P26803_2022","8P26876_2022"
"8P26803","8P26808","8P26892","38_1",2,1,0,8,1,0,1,2022,"8P26803_2022","8P26808_2022","8P26892_2022"
"8P26808","8P26892","8P26803","38_1",2,1,0,7,1,0,1,2022,"8P26808_2022","8P26892_2022","8P26803_2022"
"8P26892","8P26803","8P26808","38_1",2,4,0,8,1,0,1,2022,"8P26892_2022","8P26803_2022","8P26808_2022"
"8P26876","8P14988","8P26894","38_2",2,1,1,8,1,0,1,2022,"8P26876_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26876","8P14988","38_2",2,3,0,7,1,0,1,2022,"8P26894_2022","8P26876_2022","8P14988_2022"
"8P14988","8P26894","8P26808","39_3",2,1,2,8,1,0,1,2022,"8P14988_2022","8P26894_2022","8P26808_2022"
"8P26808","8P14988","8P26894","39_3",2,2,1,8,1,0,1,2022,"8P26808_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26808","8P14988","39_3",2,2,0,8,1,0,1,2022,"8P26894_2022","8P26808_2022","8P14988_2022"
"8P26803","8P26876","8P26894","40_2",2,0,1,9,1,0,1,2022,"8P26803_2022","8P26876_2022","8P26894_2022"
"8P26876","8P26894","8P26803","40_2",2,4,1,9,1,0,1,2022,"8P26876_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26876","40_2",2,3,0,9,1,0,1,2022,"8P26894_2022","8P26803_2022","8P26876_2022"
"8P14988","8P26803","8P26892","41_1",2,1,1,10,1,0,1,2022,"8P14988_2022","8P26803_2022","8P26892_2022"
